Device name,Frame ID,Slot ID,Port ID,User Label,ONTs
HAC-ANT.APART-B1-MA5800,0,11,12,TRK ATE4 (CC PLAZA DEL RIO 1),0
HAC-ANT.APART-B1-MA5800,0,11,13,TRK ATE5 (CC PLAZA DEL RIO 2),0
HAC-ANT.APART-B1-MA5800,0,11,14,TRK ATE6 (CC PLAZA DEL RIO 3),0
HAC-ANT.APART-B1-MA5800,0,11,15,TRK ATH7 (APARTADO LA PAZ 23),24
HAC-ANT.APART-B1-MA5800,0,12,0,TRK ATH9 (APARTADO LA PAZ 25),25
HAC-ANT.APART-B1-MA5800,0,12,1,TRK AT72 (EL CONSEJO 2),39
HAC-ANT.APART-B1-MA5800,0,12,2,TRK AT71 (EL CONSEJO 1),17
HAC-ANT.APART-B1-MA5800,0,12,3,TRK AT74 (EL CONSEJO 4),27
HAC-ANT.APART-B1-MA5800,0,12,4,TRK AT76 (EL CONSEJO 6),14
HAC-ANT.APART-B1-MA5800,0,12,5,TRK AT79 (EL CONSEJO 9),24
HAC-ANT.APART-B1-MA5800,0,12,6,TRK AT78 (EL CONSEJO 8),28
HAC-ANT.APART-B1-MA5800,0,12,7,TRK AT77 (EL CONSEJO 7),37
HAC-ANT.APART-B1-MA5800,0,12,8,TRK AT80 (EL CONSEJO 10),38
HAC-ANT.APART-B1-MA5800,0,12,9,TRK AT81 (A-LOPEZ 1),23
HAC-ANT.APART-B1-MA5800,0,12,10,TRK AT82 (A-LOPEZ 2),38
HAC-ANT.APART-B1-MA5800,0,12,11,TRK AT73 (EL CONSEJO 3),31
HAC-ANT.APART-B1-MA5800,0,12,12,TRK AT75 (EL CONSEJO 5),38
HAC-ANT.APART-B1-MA5800,0,12,13,TRK ATI4 (APARTADO LA PAZ 30),25
HAC-ANT.APART-B1-MA5800,0,12,14,TRK ATI3 (APARTADO LA PAZ 29),37
HAC-ANT.APART-B1-MA5800,0,12,15,TRK ATG2 (APARTADO LA PAZ 8),39
HAC-ANT.APART-B1-MA5800,0,13,0,TRK ATG1 (APARTADO LA PAZ 7),37
HAC-ANT.APART-B1-MA5800,0,13,1,TRK ATI1 (APARTADO LA PAZ 27),33
HAC-ANT.APART-B1-MA5800,0,13,2,TRK ATI6 (APARTADO LA PAZ 32),34
HAC-ANT.APART-B1-MA5800,0,13,3,TRK ATI7 (APARTADO LA PAZ 33),28
HAC-ANT.APART-B1-MA5800,0,13,4,TRK ATH5 (APARTADO LA PAZ 21),66
HAC-ANT.APART-B1-MA5800,0,13,5,TRK ATH6 (APARTADO LA PAZ 22),27
HAC-ANT.APART-B1-MA5800,0,13,6,TRK ATI8 (APARTADO LA PAZ 34),25
HAC-ANT.APART-B1-MA5800,0,13,7,TRK ATI5 (APARTADO LA PAZ 31),41
HAC-ANT.APART-B1-MA5800,0,13,8,TRK ATJ0 (APARTADO LA PAZ 36),25
HAC-ANT.APART-B1-MA5800,0,13,9,TRK ATG0 (APARTADO LA PAZ 6),44
HAC-ANT.APART-B1-MA5800,0,13,10,TRK ATF9 (APARTADO LA PAZ 5),36
HAC-ANT.APART-B1-MA5800,0,13,11,TRK ATF8 (APARTADO LA PAZ 4),25
HAC-ANT.APART-B1-MA5800,0,13,12,TRK ATF5 (APARTADO LA PAZ 1),32
HAC-ANT.APART-B1-MA5800,0,13,13,TRK ATF7 (APARTADO LA PAZ 3),29
HAC-ANT.APART-B1-MA5800,0,13,14,TRK ATG3 (APARTADO LA PAZ 9),39
HAC-ANT.APART-B1-MA5800,0,13,15,TRK ATG4 (APARTADO LA PAZ 10),26
HAC-ANT.APART-B1-MA5800,0,14,0,TRK ATG7 (APARTADO LA PAZ 13),40
HAC-ANT.APART-B1-MA5800,0,14,1,TRK ATG8 (APARTADO LA PAZ 14),31
HAC-ANT.APART-B1-MA5800,0,14,2,TRK ATG9 (APARTADO LA PAZ 15),40
HAC-ANT.APART-B1-MA5800,0,14,3,TRK ATH0 (APARTADO LA PAZ 16),38
HAC-ANT.APART-B1-MA5800,0,14,4,TRK ATH1 (APARTADO LA PAZ 17),22
HAC-ANT.APART-B1-MA5800,0,14,5,TRK ATH3 (APARTADO LA PAZ 19),27
HAC-ANT.APART-B1-MA5800,0,14,6,TRK ATH4 (APARTADO LA PAZ 20),31
